team,elo
Argentina,1929.841599274389
Spain,1916.6310353027534
France,1870.8598920580662
Morocco,1865.5028713917116
Brazil,1849.1671672191108
Japan,1845.263331320755
Portugal,1840.0745818429295
Germany,1830.9251734589736
Colombia,1829.4473787228887
England,1827.4590322267204
Mexico,1802.4526242976215
Netherlands,1802.0470363357483
Algeria,1801.023425017115
Ecuador,1798.1279092683308
Senegal,1795.3939319610836
Iran,1791.7192698517235
Italy,1781.4093598324596
Belgium,1780.796081828659
South Korea,1777.1969167726618
Croatia,1773.5152364249677
Uruguay,1769.3576292323519
Turkey,1768.8210140817696
Australia,1758.8469439241778
Austria,1755.6396732633607
United States,1753.4076144348899
Norway,1749.1897504373546
Canada,1747.388206205371
Nigeria,1746.8505427490804
Ivory Coast,1746.4078596054112
Denmark,1746.340940679255
Uzbekistan,1744.6119716356889
Switzerland,1743.7459016879727
Egypt,1734.1815436375691
Russia,1729.0640691768247
Paraguay,1717.360486893795
Iraq,1717.3438008828518
Panama,1695.729078804312
DR Congo,1691.86103236091
Ukraine,1691.4277287582704
Czech Republic,1686.911049160574
Jordan,1685.5601127511172
Jersey,1682.4242602628651
Tunisia,1675.5809678408177
Scotland,1674.259743038688
Sweden,1668.7365993500655
Poland,1663.5392997901567
Serbia,1659.6788884412708
Hungary,1658.9094908652949
Cameroon,1651.3894989707737
Saudi Arabia,1650.12741316217
Greece,1648.5763233433186
South Africa,1648.3737035189083
Venezuela,1647.7976161458776
Chile,1644.7451908251196
Costa Rica,1639.381559134969
Mali,1638.727656185252
United Arab Emirates,1633.0058182109876
Occitania,1631.4523612422513
Isle of Man,1630.366033117258
Republic of Ireland,1628.2665360866317
Slovenia,1626.6625348565042
Ynys Môn,1624.8157245851744
Guernsey,1623.088850030708
Cape Verde,1621.6536066603026
Haiti,1618.0843099934054
Basque Country,1617.8604371004233
Peru,1617.5275482454522
Burkina Faso,1614.6407569493751
Northern Cyprus,1606.9658173278947
New Zealand,1606.438420535854
Kosovo,1603.8357638282525
Jamaica,1603.8011221219542
Wales,1601.1469114119623
Isle of Wight,1599.1265651936935
Honduras,1597.4159174020913
Padania,1596.376804843913
Slovakia,1592.2898994827565
Abkhazia,1592.1181506831003
Iraqi Kurdistan,1588.1074555764146
Oman,1583.2610044301816
Georgia,1582.9508900508713
Qatar,1580.7491215614498
Thailand,1580.0684059174846
Réunion,1579.472997118395
Malaysia,1574.5454347517762
Ghana,1573.324077135732
Vietnam,1571.3676525682868
Romania,1567.2136711515507
Guatemala,1566.6349497670944
Kárpátalja,1565.8244982943208
County of Nice,1562.6875222871734
Bolivia,1560.4474026413654
Tamil Eelam,1558.877867112805
Curaçao,1557.3860353482528
Yorkshire,1554.983002948087
Bosnia and Herzegovina,1554.9259698191422
Kurdistan,1554.8359695740476
China,1550.8897217088468
Ellan Vannin,1549.5406531549922
Angola,1549.0739105339933
Israel,1547.695510646544
Corsica,1547.2760538544826
Zanzibar,1547.2011049937946
Suriname,1546.6226141153338
Artsakh,1544.3653157193246
Catalonia,1541.9249114081392
New Caledonia,1538.2932396848994
Syria,1536.7823697311585
